,Origin,Destination,Year
0,Indonesia,Hong Kong,1993
1,Thailand,Singapore,1993
2,Hong Kong,Macao,1994
3,Singapore,Brunei Darussalam,1995
4,Hong Kong,China,1995
5,Singapore,Malaysia,1995
6,Thailand,Hong Kong,1995
7,China,Japan,1997
8,Japan,Indonesia,1997
9,Thailand,Indonesia,1997
10,Malaysia,Brunei Darussalam,1998
11,China,Sweden,1998
12,Singapore,Hong Kong,1999
13,China,Indonesia,1999
14,China,Malaysia,2000
15,China,Hong Kong,2000
16,Hong Kong,Singapore,2000
17,China,Malaysia,2001
18,Singapore,Hong Kong,2001
19,Indonesia,Hong Kong,2001
20,China,Indonesia,2001
21,Hong Kong,Malaysia,2003
22,China,Hong Kong,2003
23,Thailand,Macao,2003
24,Singapore,Brunei Darussalam,2004
25,China,Canada,2004
26,Singapore,Malaysia,2004
27,China,Hong Kong,2004
28,China,United Kingdom,2004
29,Japan,Malaysia,2005
30,China,Macao,2005
31,Thailand,Macao,2005
32,Malaysia,Brunei Darussalam,2006
33,United Kingdom,Indonesia,2006
34,Macao,Ireland,2007
35,Thailand,Macao,2007
36,Singapore,Malaysia,2008
37,Singapore,Hong Kong,2008
38,Canada,Singapore,2008
39,China,United Kingdom,2008
40,Thailand,Malaysia,2009
41,China,Hong Kong,2009
42,Malaysia,Singapore,2009
43,Singapore,Brunei Darussalam,2010
44,Japan,Malaysia,2010
45,China,Hong Kong,2010
46,Singapore,Australia,2011
47,Hong Kong,Canada,2011
48,Australia,Sri Lanka,2011
49,Singapore,Hong Kong,2011
50,Ireland,Netherlands,2011
51,Canada,Singapore,2011
52,Australia,Sweden,2011
53,Thailand,Canada,2012
54,Ireland,Netherlands,2012
55,Netherlands,Portugal,2012
56,Netherlands,Saudi Arabia,2012
57,China,Singapore,2012
58,Netherlands,Singapore,2012
59,Malaysia,Indonesia,2012
60,Singapore,Indonesia,2012
61,Australia,Canada,2013
62,Thailand,Malaysia,2013
63,Portugal,Sweden,2013
64,Thailand,Indonesia,2013
65,Singapore,China,2014
66,United Kingdom,Ireland,2015
67,Netherlands,Czech Republic,2015
68,Australia,Finland,2015
69,Canada,Singapore,2015
70,United Kingdom,Germany,2016
71,Netherlands,Iceland,2016
72,Hong Kong,Malaysia,2016
73,China,Macao,2016
74,Sweden,Netherlands,2016
75,China,Singapore,2016
76,Saudi Arabia,Singapore,2016
77,Portugal,Spain,2016
78,Spain,Sweden,2016
79,Spain,United Arab Emirates,2016
80,Australia,Sri Lanka,2017
81,United Kingdom,Denmark,2017
82,Netherlands,Germany,2017
83,Thailand,Macao,2017
84,Portugal,Denmark,2018
85,Sweden,Denmark,2018
86,Australia,Japan,2018
87,Hong Kong,Malaysia,2018
88,Malaysia,Hong Kong,2018
89,Australia,New Zealand,2018
90,Canada,Singapore,2018
91,United Kingdom,Spain,2018
92,China,United Kingdom,2018
